Crakehill,Skip Bridge,Westwick,,,,,
70.9,27.549,44.114,127.4,0.624795121,0.557904269,0.421835132,0.495217367
55.1,19.77,33.786,98.21,0.50434534,0.423725744,0.342994685,0.401960816
40.6,14.923,27.197,86.6,0.393805984,0.340120742,0.292696495,0.364869053
37.4,11.518,39.131,145.3,0.369411092,0.28138853,0.383796601,0.552404495
79.4,13.828,61.114,113.6,0.689594054,0.32123329,0.551607363,0.451128967
47.6,13.94,37.754,123,0.447169811,0.323165157,0.37328505,0.481160196
57.4,20.581,63.906,186.3,0.521879169,0.437714532,0.572920543,0.683391772
101,24.82,84.93,188.6,0.854259577,0.510832255,0.733410624,0.690739839
82.5,30.619,83.596,157.1,0.713226606,0.610858129,0.723227321,0.590103272
57.5,24.088,50.788,102.8,0.522641509,0.498206123,0.472782183,0.416625001
35.8,17.423,34.374,80.08,0.357213646,0.383242777,0.347483278,0.344038881
26.1,15.201,26.039,75.03,0.283266629,0.344915912,0.283856716,0.327905082
30.9,13.466,35.411,118.3,0.319858967,0.314989219,0.355399384,0.466144581
52.2,12.411,49.843,81.92,0.482237469,0.296791721,0.465568374,0.349917334
27.8,12.344,31.567,71.77,0.296226415,0.29563605,0.326055592,0.317489996
24.8,11.902,31.704,68.35,0.273356204,0.288012074,0.327101404,0.30656374
23.4,11.536,30.167,112.7,0.262683438,0.281699008,0.315368467,0.448253636
42.2,21.786,76.299,100.3,0.406003431,0.458499353,0.667524499,0.408637972
29.6,13.328,35.191,111.6,0.309948542,0.312608883,0.353719978,0.444739343
42.8,24.058,86.144,197.5,0.410577473,0.497688659,0.742677888,0.719173662
56.7,37.762,76.945,153,0.516542786,0.734066408,0.672455844,0.577004545
50.2,22.394,62.298,157.5,0.466990661,0.468986632,0.560645617,0.591381197
64.1,20.455,66.452,105.6,0.572955975,0.435541182,0.592355843,0.425570474
33.6,16.612,38.178,103.2,0.340442157,0.369253989,0.376521723,0.417902926
42.5,16.139,70.007,139.6,0.408290452,0.3610953,0.619493507,0.534194069
52.4,16.892,49.647,102.1,0.48376215,0.374083657,0.464072176,0.414388633
39.8,21.491,37.988,144.9,0.387707261,0.453410953,0.375071327,0.55112657
62.8,31.212,66.144,141.3,0.56304555,0.621086675,0.590004676,0.539625249
56.3,18.192,49.421,99.39,0.513493425,0.396507115,0.462346969,0.405730693
39,14.761,40.188,89.16,0.381608538,0.337326434,0.39186538,0.37304777
33.8,14.152,34.465,70.76,0.341966838,0.326821906,0.348177941,0.314263237
26,11.725,31.145,84.77,0.282504288,0.284959034,0.322834187,0.359022547
33.8,10.398,46.325,68.28,0.341966838,0.262069858,0.438713156,0.306340104
23.3,8.594,27.828,56.59,0.261921098,0.230952997,0.297513335,0.268992756
20,7.957,22.52,50.53,0.236763865,0.219965502,0.256993864,0.249632197
17.9,7.379,19.221,46.39,0.220754717,0.209995688,0.231810418,0.236405677
16.3,6.914,16.727,41.9,0.208557271,0.201974989,0.212772068,0.222060973
15,6.558,14.503,39.99,0.198646846,0.195834411,0.195794807,0.215958883
14.2,6.632,13.431,35.09,0.192548123,0.197110824,0.187611523,0.200304306
13.6,6.132,12.71,36.73,0.18797408,0.188486417,0.182107654,0.205543797
13.3,5.431,12.21,33.65,0.185687059,0.176394998,0.178290823,0.195703777
13.2,5.674,12.115,31.7,0.184924719,0.18058646,0.177565626,0.189473894
12.9,5.62,11.807,30.31,0.182637698,0.179655024,0.175214458,0.185033106
12.3,5.212,11.104,28.78,0.178063655,0.172617508,0.169847995,0.180145044
11.9,4.931,10.588,27.88,0.175014294,0.167770591,0.165909026,0.177269714
11.5,4.716,10.015,31.49,0.171964932,0.164062096,0.161534938,0.188802984
11.2,4.905,9.935,30.35,0.169677911,0.167322122,0.160924245,0.185160899
11.2,4.92,9.774,32.17,0.169677911,0.167580854,0.159695226,0.190975456
12.3,5.515,10.817,86.82,0.178063655,0.177843898,0.167657134,0.365571911
42.6,19.568,24.803,143.9,0.409052792,0.420241483,0.274421512,0.547931759
52.2,20.212,39.355,150.8,0.482237469,0.43134972,0.385506541,0.569975959
73.4,20.322,87.041,148.8,0.643853631,0.433247089,0.749525282,0.563586336
56.8,18.642,47.094,111.8,0.517305127,0.404269082,0.444583441,0.445378306
51.1,15.402,54.277,103.5,0.473851725,0.348382924,0.499416025,0.418861369
38.1,13.582,37.476,116.9,0.374747475,0.316990082,0.371162893,0.461671845
41,12.716,72.135,108.8,0.396855346,0.302052609,0.635737936,0.435793871
39.3,12.364,82.048,138.5,0.383895559,0.295981026,0.711410414,0.530679776
49.8,13.053,56.441,77.91,0.4639413,0.307865459,0.515935267,0.33710614
23.6,11.156,31.587,59.87,0.264208119,0.275144459,0.326208265,0.279471738
24,10.452,30.709,76.8,0.26725748,0.263001294,0.319505911,0.333559899
28.1,10.685,37.06,127.8,0.298513436,0.267020267,0.36798729,0.496495292
53.5,14.595,81.942,120.9,0.492147894,0.334463131,0.710601246,0.474451091
35.7,18.046,80.32,120.9,0.356451306,0.393988788,0.698219449,0.474451091
36.6,16.894,45.986,70.19,0.363312369,0.374118154,0.436125345,0.312442194
20.2,12.37,31.951,59.56,0.238288546,0.296084519,0.328986918,0.278481346
18,11.685,27.426,54.1,0.221517057,0.284269082,0.294444603,0.261037675
17.5,10.999,26.423,58.46,0.217705355,0.272436395,0.286788042,0.274967054
19.5,9.544,28.061,46.14,0.232952163,0.24733937,0.299291978,0.235606974
16.3,6.052,20.631,39.57,0.208557271,0.187106511,0.24257388,0.214617062
14.6,5.639,16.856,46.12,0.195597484,0.179982751,0.213756811,0.235543078
19.4,5.742,33.555,124,0.232189823,0.181759379,0.341231309,0.484355007
31.6,16.309,48.523,85.47,0.32519535,0.364027598,0.455491942,0.361258916
25.3,12.315,32.184,56.22,0.277167905,0.295135834,0.330765561,0.267810675
17.4,8.845,24.907,64.34,0.216943015,0.235282449,0.275215412,0.293752546
18,9.759,40.083,59.25,0.221517057,0.251047865,0.391063846,0.277490955
18,8.75,31.576,50.76,0.221517057,0.233643812,0.326124295,0.250367004
15.8,8.215,22.773,52.42,0.204745569,0.224415696,0.258925181,0.255670391
20,8.586,33.755,139.1,0.236763865,0.230815006,0.342758042,0.532596663
62.4,14.817,88.458,102.4,0.559996188,0.338292367,0.760342179,0.415347076
30.1,12.804,40.041,65.1,0.313760244,0.303570505,0.390743232,0.296180603
19.7,9.8,33.593,98.21,0.234476844,0.251755067,0.341521389,0.401960816
28.1,14.62,60.8,73.44,0.298513436,0.334894351,0.549210393,0.322825332
22.3,11.306,39.81,79.44,0.254297694,0.277731781,0.388979857,0.341994201
28.5,10.337,38.776,72.78,0.301562798,0.26101768,0.381086652,0.320716756
27,10.301,38.067,91.78,0.290127692,0.260396723,0.375674386,0.381418177
30.4,15.538,65.259,123.3,0.316047265,0.350728762,0.583248886,0.482118639
37.7,21.887,49.23,77.52,0.371698113,0.460241483,0.46088894,0.335860163
21.2,12.414,35.964,61.35,0.24591195,0.296843467,0.359620798,0.284200059
20.2,9.204,28.44,55.09,0.238288546,0.241474774,0.302185135,0.264200538
19,11.192,28.682,63.07,0.229140461,0.275765416,0.304032481,0.289695135
22.8,10.907,26.049,47.63,0.258109396,0.270849504,0.283933053,0.240367244
16.1,8.821,18.434,39.93,0.20703259,0.234868478,0.225802727,0.215767194
13.6,8.243,15.381,35.34,0.18797408,0.224898663,0.202497161,0.201103009
12.2,7.852,13.84,32.17,0.177301315,0.218154377,0.19073369,0.190975456
11.4,7.447,12.599,28.26,0.171202592,0.211168607,0.181260317,0.178483742
10.9,4.437,11.756,26.28,0.16739089,0.159249677,0.174825141,0.172158015
10.6,4.012,11.271,25.77,0.165103869,0.151918931,0.171122816,0.170528661
10.5,4.182,10.772,29.29,0.164341528,0.154851229,0.167313619,0.181774398
13.2,3.989,14.444,39.38,0.184924719,0.151522208,0.195344421,0.214010048
18,3.941,26.736,73.41,0.221517057,0.150694265,0.289177378,0.322729487
33.3,6.998,47.024,80.79,0.338155136,0.20342389,0.444049084,0.346307197
34.2,5.951,31.54,48.35,0.3450162,0.185364381,0.325849483,0.242667508
17.7,6.015,21.232,49.5,0.219230036,0.186468305,0.24716171,0.246341541
17.5,6.162,27.069,39.69,0.217705355,0.189003881,0.291719387,0.215000439
14.2,4.364,17.042,37.65,0.192548123,0.157990513,0.215176672,0.208483024
17.5,3.975,26.584,52.87,0.217705355,0.151280724,0.288017061,0.257108057
22.1,3.699,22.133,34.32,0.252773013,0.146520052,0.254039638,0.197844301
13.5,3.576,14.123,27.22,0.18721174,0.144398448,0.192894016,0.175161138
11.1,3.332,11.746,24.07,0.168915571,0.140189737,0.174748805,0.165097482
10.1,3.168,10.43,22.46,0.161292167,0.137360931,0.164702907,0.159953835
9.74,3.128,9.576,21.27,0.158547742,0.136670979,0.158183761,0.156152009
9.32,3.155,9.129,24.27,0.155345912,0.137136697,0.154771515,0.165736444
11.5,3.335,12.947,37.69,0.171964932,0.140241483,0.183916831,0.208610816
17.3,3.355,22.709,31.42,0.216180675,0.14058646,0.258436626,0.188579347
12.1,3.275,12.811,24.05,0.176538975,0.139206555,0.182878653,0.165033585
9.83,3.331,10.536,20.81,0.159233848,0.140172488,0.165512075,0.154682396
8.82,2.889,9.057,18.95,0.15153421,0.132548512,0.154221891,0.148740046
8.28,2.779,8.162,17.92,0.147417572,0.130651143,0.147389765,0.14544939
7.91,2.743,7.828,16.88,0.144596913,0.130030185,0.144840123,0.142126786
7.65,2.696,7.339,16.09,0.142614828,0.129219491,0.141107262,0.139602885
7.26,2.626,6.945,15.39,0.1396417,0.128012074,0.1380996,0.137366517
7.1,2.618,6.794,19.78,0.138421955,0.127874084,0.136946917,0.15139174
8.15,5.672,8.341,25.57,0.146426529,0.180551962,0.14875619,0.169889699
10.5,4.207,11.547,22.02,0.164341528,0.155282449,0.173229706,0.158548118
8.58,3.221,9.009,18.69,0.149704593,0.138275119,0.153855476,0.147909395
7.5,2.86,7.64,16.56,0.141471317,0.132048297,0.143404994,0.141104446
7.15,2.719,7.116,15.76,0.138803126,0.129616214,0.139404956,0.138548597
7.15,2.672,6.797,15.64,0.138803126,0.12880552,0.136969818,0.13816522
6.95,3.092,6.718,26.65,0.137278445,0.136050022,0.136366759,0.173340096
14.5,6.43,19.822,43.22,0.194835144,0.193626563,0.236398248,0.226278124
18.3,5.352,13.999,26.34,0.223804079,0.175032342,0.191947442,0.172349704
10.7,4.06,9.586,20.46,0.165866209,0.152746874,0.158260098,0.153564212
8.52,3.404,7.901,17.6,0.149247189,0.141431652,0.14539738,0.14442705
7.56,2.974,6.984,15.84,0.141928721,0.134014661,0.138397313,0.138804182
6.99,2.753,6.48,15.36,0.137583381,0.130202674,0.134549948,0.137270672
6.64,2.652,6.125,14.36,0.13491519,0.128460543,0.131839998,0.134075861
6.31,2.573,5.883,13.71,0.132399466,0.127097887,0.129992653,0.131999233
6.08,2.51,5.715,13.4,0.130646083,0.126011212,0.128710198,0.131008842
5.87,2.465,5.511,13.19,0.129045169,0.125235015,0.127152931,0.130337931
5.73,2.501,5.389,13.48,0.127977892,0.125855972,0.126221624,0.131264427
5.95,2.728,5.468,14.07,0.129655041,0.129771453,0.126824683,0.133149365
6.17,2.72,5.571,14.91,0.13133219,0.129633463,0.12761095,0.135833007
7.9,2.614,7.095,18.63,0.144520678,0.127805088,0.139244649,0.147717706
8.78,2.441,7.248,15.57,0.151229274,0.124821044,0.140412599,0.137941583
6.76,2.384,6.137,13.47,0.135829998,0.123837861,0.131931602,0.131232478
6.24,2.369,6.333,14.56,0.131865828,0.123579129,0.1334278,0.134714823
6.26,2.324,6.541,12.86,0.132018296,0.122802932,0.135015601,0.129283643
5.58,2.276,5.673,11.88,0.126834382,0.121974989,0.128389584,0.126152728
5.33,2.277,5.335,11.64,0.124928531,0.121992238,0.125809407,0.125385973
5.17,2.254,5.176,11.22,0.123708786,0.121595515,0.124595655,0.124044152
4.97,2.216,4.938,11.18,0.122184105,0.12094006,0.122778843,0.12391636
4.85,2.222,4.623,10.71,0.121269297,0.121043553,0.12037424,0.122414798
4.63,2.091,4.338,10.25,0.119592148,0.118783959,0.118198647,0.120945185
4.5,2.021,4.25,10.03,0.118601105,0.117576542,0.117526885,0.120242326
4.46,2.043,4.137,10.3,0.118296169,0.117956016,0.116664281,0.121104926
4.61,2.063,4.097,10.18,0.11943968,0.118300992,0.116358935,0.120721548
4.58,2.045,4.078,10.37,0.119210978,0.117990513,0.116213895,0.121328562
4.47,2.052,4.556,13.63,0.118372403,0.118111255,0.119862785,0.131743648
5.51,2.092,7.568,14.19,0.126300743,0.118801207,0.142855371,0.133532743
5.22,2.189,10.749,26.89,0.124089956,0.120474342,0.167138045,0.17410685
9.4,2.347,15.905,18.78,0.155955784,0.123199655,0.206497199,0.148196928
6.46,2.079,8.003,13.75,0.133542977,0.118576973,0.146176013,0.132127026
5.18,1.996,6.194,12.5,0.12378502,0.117145321,0.132366721,0.128133511
4.99,2.368,5.545,12.76,0.122336573,0.12356188,0.127412475,0.128964162
5.5,2.076,6.013,12.27,0.126224509,0.118525226,0.130985028,0.127398705
4.83,1.977,7.071,15.79,0.121116829,0.116817594,0.139061441,0.138644441
5.82,1.921,8.486,12.57,0.128663998,0.11585166,0.149863071,0.128357148
4.69,1.88,5.683,10.65,0.120049552,0.115144459,0.12846592,0.12222311
4.12,1.796,4.77,9.882,0.115704212,0.113695558,0.121496388,0.119769494
3.9,1.794,4.339,9.498,0.114027063,0.113661061,0.118206281,0.118542687
3.83,1.827,4.055,9.229,0.113493425,0.114230272,0.116038321,0.117683282
3.68,1.841,4.011,8.72,0.112349914,0.114471755,0.11570244,0.116057123
3.67,1.843,4.052,8.905,0.11227368,0.114506253,0.11601542,0.116648163
3.61,1.813,3.908,9.239,0.111816276,0.113988788,0.114916173,0.11771523
3.67,1.957,3.828,9.709,0.11227368,0.116472618,0.11430548,0.119216792
3.75,2.331,3.723,9.33,0.112883553,0.122923674,0.113503946,0.118005958
3.74,1.983,3.781,8.986,0.112807318,0.116921087,0.113946698,0.116906943
3.68,1.824,3.71,8.419,0.112349914,0.114178525,0.113404708,0.115095485
3.52,1.753,3.672,8.316,0.11113017,0.112953859,0.113114629,0.114766419
3.47,1.747,3.6,8.162,0.110748999,0.112850367,0.112565005,0.114274418
3.39,1.725,3.367,7.967,0.110139127,0.112470893,0.110786362,0.11365143
3.48,1.679,3.42,7.735,0.110825233,0.111677447,0.111190946,0.112910234
3.31,1.662,3.361,7.645,0.109529255,0.111384217,0.110740561,0.112622701
3.21,1.669,3.269,7.434,0.108766914,0.111504959,0.110038264,0.111948595
3.14,1.637,3.137,7.499,0.108233276,0.110952997,0.109030621,0.112156258
3.07,1.614,3.152,7.124,0.107699638,0.110556274,0.109145125,0.110958204
3.1,1.648,3.11,6.623,0.10792834,0.111142734,0.108824512,0.109357603
3.01,1.639,3.076,6.298,0.107242234,0.110987495,0.108564967,0.108319289
2.96,1.64,3.042,6.342,0.106861063,0.111004743,0.108305423,0.108459861
2.92,1.641,2.969,6.151,0.106556127,0.111021992,0.107748166,0.107849652
3,1.662,2.955,5.887,0.107166,0.111384217,0.107641294,0.107006222
2.91,1.59,2.892,7.603,0.106479893,0.110142303,0.107160374,0.112488519
3.52,2.792,3.51,11.16,0.11113017,0.130875377,0.111877976,0.123852464
4.47,3.264,3.554,8.654,0.118372403,0.139016818,0.112213857,0.115846266
3.64,1.988,3.628,9.499,0.112044978,0.117007331,0.112778748,0.118545881
3.9,2.789,3.572,8.672,0.114027063,0.130823631,0.112351263,0.115903772
3.69,2.068,3.326,8.077,0.112426148,0.118387236,0.110473382,0.114002859
3.32,1.773,3.327,7.809,0.109605489,0.113298836,0.110481016,0.11314665
3.16,1.721,3.277,9.428,0.108385744,0.112401897,0.110099333,0.11831905
4.3,2.727,4.488,10.57,0.117076425,0.129754204,0.119343696,0.121967525
4.24,2.269,4.186,9.686,0.11661902,0.121854248,0.117038331,0.119143311
3.66,2.308,3.906,8.179,0.112197446,0.122526951,0.114900906,0.11432873
3.26,1.915,3.509,8.73,0.109148085,0.115748167,0.111870342,0.116089071
3.58,2.193,4.949,14.1,0.111587574,0.120543338,0.122862814,0.13324521
5.82,2.051,7.355,11.62,0.128663998,0.118094006,0.141229401,0.125322077
4.19,1.743,4.862,9.796,0.11623785,0.112781371,0.122198685,0.119494741
3.69,1.674,4.129,8.954,0.112426148,0.111591203,0.116603212,0.116804709
3.4,1.754,3.741,8.478,0.110215361,0.112971108,0.113641352,0.115283979
3.21,1.695,3.641,8.157,0.108766914,0.111953428,0.112877985,0.114258444
3.18,1.673,3.509,7.746,0.108538212,0.111573954,0.111870342,0.112945377
3.26,1.703,3.443,7.646,0.109148085,0.112091419,0.111366521,0.112625896
3.25,1.676,3.363,7.348,0.109071851,0.111625701,0.110755828,0.111673842
3.1,1.608,3.309,6.909,0.10792834,0.110452781,0.11034361,0.110271319
2.97,1.55,3.21,6.758,0.106937298,0.10945235,0.109587878,0.109788903
2.89,1.543,3.134,6.59,0.106327425,0.109331608,0.10900772,0.109252174
2.85,1.552,3.091,7.158,0.106022489,0.109486848,0.108679472,0.111066827
3.29,1.778,3.264,9.919,0.109376787,0.11338508,0.110000095,0.119887702
5.5,1.858,6.151,12.64,0.126224509,0.114764985,0.132038474,0.128580785
5.51,1.52,5.258,9.52,0.126300743,0.108934886,0.125221615,0.118612973
4.02,1.462,4.228,8.371,0.114941872,0.107934455,0.117358944,0.114942134
3.53,1.427,3.976,7.352,0.111206404,0.107330746,0.115435262,0.111686621
3.25,1.415,3.644,7.159,0.109071851,0.10712376,0.112900886,0.111070022
3.23,1.654,3.57,10.28,0.108919383,0.111246227,0.112335996,0.121041029
4.53,1.822,7.65,38.58,0.118829808,0.114144028,0.143481331,0.211454198
13.9,2.361,37.799,33.27,0.190261102,0.123441138,0.373628565,0.194489749
9.97,1.982,14.108,18.75,0.160301124,0.116903838,0.192779511,0.148101084
5.84,1.551,11.513,17.88,0.128816467,0.109469599,0.172970162,0.145321598
5.66,1.504,12.3,16.12,0.127444254,0.108658905,0.178977853,0.139698729
4.56,1.53,9.796,13.02,0.11905851,0.109107374,0.159863167,0.129794813
4.18,1.475,7.485,11.92,0.116161616,0.108158689,0.142221777,0.12628052
4.08,1.855,7.31,27.63,0.115399276,0.114713238,0.140885886,0.176471011
10.5,5.198,22.413,29.49,0.164341528,0.172376024,0.256177063,0.182413361
9.55,2.558,11.551,16.21,0.157099295,0.126839155,0.173260241,0.139986262
5.59,1.856,7.386,11.88,0.126910616,0.114730487,0.141466045,0.126152728
4.58,1.694,5.952,11.61,0.119210978,0.111936179,0.130519375,0.125290129
4.67,1.639,7.265,12.97,0.119897084,0.110987495,0.140542372,0.129635073
5.28,1.632,6.865,14.41,0.12454736,0.110866753,0.137488907,0.134235601
5.19,1.621,11.96,19.49,0.123861254,0.110677016,0.176382408,0.150465244
6.24,1.962,11.341,17.45,0.131865828,0.116558862,0.171657172,0.143947829
6.25,1.797,10.45,24.22,0.131942062,0.113712807,0.164855581,0.165576703
12.5,2.287,19.517,41.61,0.179588336,0.122164726,0.234069982,0.221134478
17.7,3.046,29.774,58.29,0.219230036,0.135256576,0.312368439,0.274423936
20.2,5.326,43.151,78.25,0.238288546,0.174583872,0.414483917,0.338192376
34,5.356,38.014,47.36,0.343491519,0.175101337,0.375269802,0.239504644
18.4,2.872,24.869,69.31,0.224566419,0.132255282,0.274925333,0.30963076
33.6,9.73,45.271,68.41,0.340442157,0.25054765,0.430667277,0.306755429
28.6,4.817,26.299,34.88,0.302325138,0.165804226,0.285841468,0.199633395
12.5,2.734,14.59,23.01,0.179588336,0.129874946,0.196458936,0.161710981
8.88,2.273,10.399,18.87,0.151991614,0.121923243,0.164466264,0.148484461
7.61,2.322,8.698,18.87,0.142309891,0.122768435,0.151481407,0.148484461
7.43,2.944,8.786,24.02,0.140937679,0.133497197,0.152153169,0.164937741
11,3.747,13.228,26.1,0.16815323,0.147347995,0.18606189,0.171582949
10.5,2.794,10.289,18.27,0.164341528,0.130909875,0.163626561,0.146567574
7.4,2.372,7.82,15.2,0.140708977,0.123630875,0.144779053,0.136759503
6.49,2.291,7.015,42.36,0.133771679,0.122233721,0.138633956,0.223530586
24.2,6.018,37.792,59.44,0.268782161,0.186520052,0.37357513,0.278097969
22.1,4.324,22.981,32.42,0.252773013,0.157300561,0.260512982,0.191774159
11.5,2.943,13.88,21.78,0.171964932,0.133479948,0.191039037,0.157781363
8.71,2.511,10.391,17.77,0.150695636,0.126028461,0.164405195,0.144970168
7.3,2.347,8.675,15.4,0.139946636,0.123199655,0.151305833,0.137398465
6.44,2.254,7.601,15.49,0.133390509,0.121595515,0.143107282,0.137685998
6.08,2.354,7.052,20.48,0.130646083,0.123320397,0.138916402,0.153628108
8.47,3.208,21.788,65.22,0.148866019,0.138050884,0.251406025,0.29656398
32.2,6.524,38.308,55.08,0.329769392,0.195247952,0.377514098,0.26416859
20.7,4.196,19.728,31.18,0.242100248,0.155092712,0.235680684,0.187812592
11.9,2.905,12.489,23.44,0.175014294,0.132824493,0.180420615,0.16308475
9.5,2.525,9.644,19.71,0.156718125,0.126269944,0.15870285,0.151168103
7.96,2.441,8.26,17.59,0.144978083,0.124821044,0.148137864,0.144395102
7.24,2.371,8.738,17.71,0.139489232,0.123613627,0.151786754,0.14477848
6.98,2.349,8.873,15.38,0.137507147,0.123234153,0.152817298,0.137334569
6.32,2.252,7.441,14.3,0.1324757,0.121561018,0.141885896,0.133884172
5.89,2.555,6.705,13.35,0.129197637,0.126787408,0.136267522,0.130849101
5.55,2.62,6.109,12.78,0.126605679,0.127908581,0.13171786,0.129028058
5.26,2.601,5.821,12.13,0.124394892,0.127580854,0.129519366,0.126951431
5.1,2.59,5.547,11.81,0.123175148,0.127391117,0.127427743,0.125929091
4.97,2.572,5.363,11.44,0.122184105,0.127080638,0.126023149,0.124747011
4.91,2.536,5.369,11.74,0.121726701,0.126459681,0.126068951,0.125705454
5.09,2.519,5.651,11.67,0.123098914,0.126166451,0.128221643,0.125481818
4.9,2.481,5.518,12.37,0.121650467,0.125510996,0.127206366,0.127718186
5.06,2.57,5.584,20.34,0.122870212,0.127046141,0.127710188,0.153180834
9.96,4.029,10.722,38.84,0.16022489,0.15221216,0.166931936,0.212284849
18.2,4.251,16.385,41.47,0.223041738,0.156041397,0.210161357,0.220687204
17.5,4.678,28.091,100.9,0.217705355,0.163406641,0.299520988,0.410554859
67.4,13.076,59.856,82.47,0.598113208,0.308262182,0.542004218,0.351674481
38.2,6.417,29.314,57.03,0.375509815,0.193402329,0.308856955,0.270398473
19.7,10.759,27.898,63.62,0.234476844,0.26829668,0.298047691,0.291452281
21,10.935,34.524,50.23,0.244387269,0.271332471,0.348628327,0.248673754
16,7.678,24.169,40.8,0.20627025,0.215153083,0.269581771,0.21854668
12.9,5.261,21.284,33.32,0.182637698,0.173462699,0.24755866,0.194649489
11.3,4.666,16.059,30.45,0.170440252,0.163199655,0.207672783,0.18548038
10.7,6.149,14.753,55.25,0.165866209,0.188779646,0.197703222,0.264711708
23.6,10.345,43.478,82.34,0.264208119,0.261155671,0.416980124,0.351259155
24.7,14.279,38.611,52.2,0.272593863,0.329012505,0.379827098,0.254967533
14.1,12.391,19.446,43.76,0.191785782,0.296446744,0.233527992,0.228003323
13.4,13.091,24.243,63.13,0.1864494,0.308520914,0.270146662,0.289886824
23.5,11.821,29.837,108.4,0.263445779,0.28661492,0.312849359,0.434515946
45,16.918,33.342,62.52,0.427348961,0.374532126,0.33960534,0.287937989
21.3,10.701,21.671,45.96,0.24667429,0.267296248,0.250512887,0.235031908
16.1,8.93,17.115,56.48,0.20703259,0.236748599,0.215733929,0.268641326
17.8,15.705,35.339,79.89,0.219992377,0.353609314,0.35484976,0.343431867
24.7,20.247,35.247,65.09,0.272593863,0.431953428,0.354147463,0.296148655
20.3,14.248,25.904,66.21,0.239050886,0.328477792,0.282826172,0.299726844
25.7,19.017,43.93,129.3,0.280217267,0.410737387,0.420430538,0.501287509
63.4,21.638,86.322,196.1,0.567619592,0.455946529,0.74403668,0.714700926
79.4,34.49,81.599,138.5,0.689594054,0.677628288,0.707982901,0.530679776
43.7,21.929,51.652,90.63,0.417438536,0.460965934,0.479377666,0.377744144
28.2,17.979,40.499,87.73,0.299275777,0.392833118,0.394239449,0.36847919
30.1,17.624,42.889,129.9,0.313760244,0.386709789,0.412483898,0.503204396
59.9,25.744,75.818,162.6,0.540937679,0.52677016,0.663852709,0.607674736
66.3,37.629,65.734,126,0.589727463,0.731772316,0.586874875,0.490744631
44.3,23.692,37.812,79.39,0.422012579,0.491375593,0.373727803,0.341834461
24.7,16.419,27.124,58.4,0.272593863,0.365924968,0.292139238,0.274775365
19.8,11.017,22.29,49.85,0.235239184,0.272746874,0.255238123,0.247459725
17.5,9.139,19.495,44.41,0.217705355,0.240353601,0.233902041,0.23007995
15.8,8.322,17.002,39.81,0.204745569,0.22626132,0.214871325,0.215383817
14.2,7.896,15.17,36.81,0.192548123,0.218913325,0.200886459,0.205799382
13.1,7.036,13.947,32.22,0.184162379,0.204079345,0.191550492,0.191135196
12,5.187,12.636,29.67,0.175776634,0.172186287,0.181542763,0.182988427
11.2,4.883,11.576,27.54,0.169677911,0.166942648,0.173451083,0.176183478
10.6,4.718,10.662,26.45,0.165103869,0.164096593,0.166473917,0.172701133
10.1,4.546,10.088,24.38,0.161292167,0.161129797,0.162092196,0.166087873
9.71,4.474,9.585,23.95,0.158319039,0.159887883,0.158252464,0.164714104
10.6,5.906,16.159,90.54,0.165103869,0.184588185,0.208436149,0.37745661
49,20.436,63.809,151.7,0.457842577,0.435213454,0.572180078,0.57285129
70.4,19.581,61.497,137.3,0.620983419,0.420465718,0.554531055,0.526846002
60.2,16.046,55.209,140.4,0.5432247,0.35949116,0.506530597,0.536749918
63.3,18.538,78.054,177.8,0.566857252,0.402475205,0.680921574,0.656235873
86,23.046,101.157,156.3,0.739908519,0.480232859,0.857282035,0.587547423
62.9,19.19,49.472,131.1,0.56380789,0.413721432,0.462736286,0.50703817
45.5,26.018,88.908,173.5,0.431160663,0.531496335,0.763777326,0.642498183
72.6,29.088,86.027,196.3,0.637754908,0.584450194,0.74178475,0.715339888
94,23.219,101.679,156.1,0.80089575,0.483216904,0.861266806,0.586908461
59.9,25.873,67.635,152.1,0.540937679,0.528995257,0.601386464,0.574129214
66.3,25.184,48.397,98.55,0.589727463,0.517110824,0.4545301,0.403047052
35.7,17.524,33.042,82.78,0.356451306,0.384984907,0.337315242,0.352664872
30.9,15.662,35.514,73.66,0.319858967,0.352867615,0.356185651,0.32352819
24.5,14.707,39.213,136,0.271069182,0.336394998,0.384422561,0.522692747
57.6,19.291,73.749,122,0.52340385,0.415463562,0.648058665,0.477965384
46.7,20.163,51.448,87.13,0.440308748,0.430504528,0.477820399,0.366562303
30.3,13.131,32.982,63.21,0.315284925,0.309210867,0.336857222,0.290142409
21.6,10.915,24.583,51.71,0.248961311,0.270987495,0.272742106,0.253402075
17.9,9.445,19.74,44.81,0.220754717,0.245631738,0.235772288,0.231357875
15.8,8.7,16.759,41.37,0.204745569,0.232781371,0.213016346,0.220367723
15.4,8.314,16.06,49.17,0.201696207,0.226123329,0.207680417,0.245287254
19,8.886,24.328,71.25,0.229140461,0.235989651,0.270795523,0.315828694
27,11.607,59.032,254.1,0.290127692,0.282923674,0.535714081,0.9
103,47.382,84.536,181.2,0.869506385,0.9,0.730402962,0.667098232
61.6,27.863,44.166,111,0.553897465,0.563320397,0.422232082,0.442822456
34.8,17.793,30.166,75.25,0.349590242,0.389624838,0.315360834,0.328607941
23.9,15.098,24.699,63.81,0.26649514,0.343139284,0.273627611,0.292059296
20.7,14.125,22.218,109.1,0.242100248,0.326356188,0.254688499,0.436752314
